date,team_abbr,game_pk,relief_appearances,relief_ip
2021-04-01,ARI,634618,4,4.0
2021-04-01,ATH,634640,5,3.6667
2021-04-01,ATL,634622,5,4.6667
2021-04-01,CHC,634634,7,6.0001
2021-04-01,CHW,634655,3,2.6667
2021-04-01,CIN,634636,4,5.6667
2021-04-01,CLE,634645,2,2.0
2021-04-01,COL,634615,4,5.0
2021-04-01,DET,634645,3,3.3333
2021-04-01,HOU,634640,4,3.0
2021-04-01,KCR,634630,6,7.6668
2021-04-01,LAA,634655,3,3.0
2021-04-01,LAD,634615,3,2.3333
2021-04-01,MIA,634652,4,3.0
2021-04-01,MIL,634638,5,6.0
2021-04-01,MIN,634638,5,4.6667
2021-04-01,NYY,634642,4,4.6667
2021-04-01,PHI,634622,4,3.3333
2021-04-01,PIT,634634,6,6.0
2021-04-01,SDP,634618,5,4.3333
2021-04-01,SEA,634625,4,4.0
2021-04-01,SFG,634625,4,2.3333
2021-04-01,STL,634636,5,4.6667
2021-04-01,TBR,634652,3,3.0
2021-04-01,TEX,634630,6,7.6666
2021-04-01,TOR,634642,5,4.6667
2021-04-02,ARI,634576,4,4.0
2021-04-02,ATH,634605,4,4.0
2021-04-02,BAL,634627,2,2.0
2021-04-02,BOS,634627,4,3.6667
2021-04-02,CHW,634631,4,5.0
2021-04-02,COL,634653,5,5.6667
2021-04-02,HOU,634605,5,5.3333
2021-04-02,LAA,634631,6,5.9999
2021-04-02,LAD,634653,2,2.6667
2021-04-02,MIA,634602,4,4.0
2021-04-02,SDP,634576,4,4.3333
2021-04-02,SEA,634578,3,3.0
2021-04-02,SFG,634578,3,3.3333
2021-04-02,TBR,634602,5,3.3333
2021-04-03,ARI,634623,1,5.0
2021-04-03,ATH,634629,3,4.6667
2021-04-03,ATL,634580,4,3.0
2021-04-03,BAL,634577,3,4.3333
2021-04-03,BOS,634577,3,4.0
2021-04-03,CHC,634643,3,3.0
2021-04-03,CHW,634646,2,3.3333
2021-04-03,CIN,634654,4,4.0001
2021-04-03,CLE,634573,3,2.0
2021-04-03,COL,634633,4,4.0
2021-04-03,DET,634573,4,4.0
2021-04-03,HOU,634629,3,4.0
2021-04-03,KCR,634604,4,3.0
2021-04-03,LAA,634646,2,3.0
2021-04-03,LAD,634633,3,3.0
2021-04-03,MIA,634596,6,6.6667
2021-04-03,MIL,634575,2,2.6667
2021-04-03,MIN,634575,3,3.0
2021-04-03,NYY,634644,4,5.0
2021-04-03,PHI,634580,2,2.0
2021-04-03,PIT,634643,4,3.0
2021-04-03,SDP,634623,1,3.0
2021-04-03,SEA,634639,3,4.0
2021-04-03,SFG,634639,3,2.6667
2021-04-03,STL,634654,4,5.3333
2021-04-03,TBR,634596,4,4.0
2021-04-03,TEX,634604,3,3.0
2021-04-03,TOR,634644,5,4.6667
2021-04-04,ARI,634572,5,3.0
2021-04-04,ATH,634651,4,4.3334
2021-04-04,ATL,634617,4,3.0
2021-04-04,BAL,634610,2,3.0
2021-04-04,BOS,634610,5,7.0
2021-04-04,CHC,634613,4,3.3333
2021-04-04,CHW,634637,4,3.6666
2021-04-04,CIN,634560,3,4.0
2021-04-04,CLE,634611,2,2.0
2021-04-04,COL,634557,4,6.0
2021-04-04,DET,634611,3,3.6667
2021-04-04,HOU,634651,1,4.6667
2021-04-04,KCR,634593,4,5.6667
2021-04-04,LAA,634637,3,4.3333
2021-04-04,LAD,634557,2,2.0
2021-04-04,MIL,634597,3,4.0
2021-04-04,MIN,634597,3,4.0
2021-04-04,NYY,634607,1,6.0
2021-04-04,PHI,634617,2,2.0
2021-04-04,PIT,634613,5,5.0
2021-04-04,SDP,634572,4,5.0
2021-04-04,STL,634560,4,3.0
