feature,importance
away_rolling_win_rate_5,0.056702867
away_rolling_win_rate,0.035066664
away_rolling_run_diff_5,0.02733618
era_diff,0.024395304
home_avg_so_per_w,0.024051227
run_diff_diff,0.022844682
away_avg_so9,0.021912776
starter_whip_diff,0.02154696
away_starter_k_per_9,0.021399125
so9_diff,0.021342706
win_rate_diff_5,0.021328626
away_starter_fip_proxy,0.021201704
home_avg_whip,0.021181574
starter_era_diff,0.021178579
away_avg_era,0.020827625
home_avg_era,0.020808063
run_diff_diff_5,0.020771714
home_starter_fip_proxy,0.020687658
whip_diff,0.020647038
away_bullpen_ip_3d,0.020528052
starter_k_diff,0.020515978
home_avg_so9,0.020455133
home_starter_bb_per_9,0.019629318
bullpen_fatigue_diff,0.019579386
away_rolling_runs_scored,0.019432902
runs_scored_diff,0.019348865
away_starter_era,0.019171273
away_starter_bb_per_9,0.018817786
away_avg_so_per_w,0.018771162
home_bullpen_ip_3d,0.018647313
home_starter_whip,0.01860243
home_starter_k_per_9,0.018594468
away_rolling_runs_allowed,0.018523678
win_rate_diff,0.018409686
away_avg_whip,0.018234378
home_park_factor,0.018153366
away_starter_whip,0.018090982
starter_fip_diff,0.0179791
away_rolling_run_diff,0.017899996
home_starter_era,0.017823625
home_rolling_win_rate_5,0.01781619
home_rolling_runs_scored,0.01778281
home_rolling_run_diff_5,0.01776892
home_rolling_win_rate,0.017182996
home_rolling_run_diff,0.016890908
home_rolling_runs_allowed,0.016844332
away_bullpen_appearances_3d,0.016751235
home_bullpen_appearances_3d,0.016522633
is_home,0.0
park_factor_is_known,0.0
