date,team,home_away,opponent,runs_scored,runs_allowed,result,home_team_won,attendance,season,recency_weight
1-03-25,SFG,Home,NYY,0.0,7.0,L,0,40856.0,2026.0,0.75
1-03-25,NYY,@,SFG,7.0,0.0,W,0,40856.0,2026.0,0.75
1-03-26,ARI,@,LAD,2.0,8.0,L,1,53712.0,2026.0,0.75
1-03-26,PHI,Home,TEX,5.0,3.0,W,1,44610.0,2026.0,0.75
1-03-26,MIL,Home,CHW,14.0,2.0,W,1,43001.0,2026.0,0.75
1-03-26,PIT,@,NYM,7.0,11.0,L,1,41449.0,2026.0,0.75
1-03-26,BOS,@,CIN,3.0,0.0,W,0,43897.0,2026.0,0.75
1-03-26,LAD,Home,ARI,8.0,2.0,W,1,53712.0,2026.0,0.75
1-03-26,SDP,Home,DET,2.0,8.0,L,0,45673.0,2026.0,0.75
1-03-26,LAA,@,HOU,3.0,0.0,W,0,41329.0,2026.0,0.75
1-03-26,SEA,Home,CLE,4.0,6.0,L,0,44938.0,2026.0,0.75
1-03-26,WSN,@,CHC,10.0,4.0,W,0,39712.0,2026.0,0.75
1-03-26,TEX,@,PHI,3.0,5.0,L,1,44610.0,2026.0,0.75
1-03-26,CHW,@,MIL,2.0,14.0,L,1,43001.0,2026.0,0.75
1-03-26,TBR,@,STL,7.0,9.0,L,1,45037.0,2026.0,0.75
1-03-26,CIN,Home,BOS,0.0,3.0,L,0,43897.0,2026.0,0.75
1-03-26,DET,@,SDP,8.0,2.0,W,0,45673.0,2026.0,0.75
1-03-26,STL,Home,TBR,9.0,7.0,W,1,45037.0,2026.0,0.75
1-03-26,MIN,@,BAL,1.0,2.0,L,1,42134.0,2026.0,0.75
1-03-27,SEA,Home,CLE,5.0,1.0,W,1,36987.0,2026.0,0.75
1-03-27,KCR,@,ATL,0.0,6.0,L,1,39697.0,2026.0,0.75
1-03-27,LAA,@,HOU,6.0,2.0,W,0,30788.0,2026.0,0.75
1-03-27,SDP,Home,DET,2.0,5.0,L,0,44896.0,2026.0,0.75
1-03-27,SFG,Home,NYY,0.0,3.0,L,0,40273.0,2026.0,0.75
1-03-27,TOR,Home,ATH,3.0,2.0,W-wo,,42728.0,2026.0,0.75
1-03-27,DET,@,SDP,5.0,2.0,W,0,44896.0,2026.0,0.75
1-03-27,MIA,Home,COL,2.0,1.0,W,1,32459.0,2026.0,0.75
1-03-27,ATL,Home,KCR,6.0,0.0,W,1,39697.0,2026.0,0.75
1-03-27,LAD,Home,ARI,5.0,4.0,W,1,51540.0,2026.0,0.75
1-03-27,NYY,@,SFG,3.0,0.0,W,0,40273.0,2026.0,0.75
1-03-27,ARI,@,LAD,4.0,5.0,L,1,51540.0,2026.0,0.75
1-03-28,TOR,Home,ATH,8.0,7.0,W-wo,,40268.0,2026.0,0.75
1-03-28,SEA,Home,CLE,5.0,6.0,L,0,43283.0,2026.0,0.75
1-03-28,BOS,@,CIN,5.0,6.0,L-wo,,38298.0,2026.0,0.75
1-03-28,LAD,Home,ARI,3.0,2.0,W,1,53340.0,2026.0,0.75
1-03-28,PIT,@,NYM,2.0,4.0,L-wo,,37183.0,2026.0,0.75
1-03-28,SFG,Home,NYY,1.0,3.0,L,0,40634.0,2026.0,0.75
1-03-28,MIL,Home,CHW,6.0,1.0,W,1,36030.0,2026.0,0.75
1-03-28,PHI,Home,TEX,4.0,5.0,L,0,40051.0,2026.0,0.75
1-03-28,MIA,Home,COL,4.0,3.0,W,1,10160.0,2026.0,0.75
1-03-28,KCR,@,ATL,2.0,6.0,L-wo,,39362.0,2026.0,0.75
1-03-28,SDP,Home,DET,3.0,0.0,W,1,44368.0,2026.0,0.75
1-03-28,CIN,Home,BOS,6.0,5.0,W-wo,,38298.0,2026.0,0.75
1-03-28,DET,@,SDP,0.0,3.0,L,1,44368.0,2026.0,0.75
1-03-28,TBR,@,STL,5.0,6.0,L-wo,,25951.0,2026.0,0.75
1-03-28,STL,Home,TBR,6.0,5.0,W-wo,,25951.0,2026.0,0.75
1-03-28,MIN,@,BAL,4.0,1.0,W,0,26057.0,2026.0,0.75
1-03-28,LAA,@,HOU,9.0,11.0,L,1,30740.0,2026.0,0.75
1-03-28,NYY,@,SFG,3.0,1.0,W,0,40634.0,2026.0,0.75
1-03-28,CHW,@,MIL,1.0,6.0,L,1,36030.0,2026.0,0.75
1-03-28,ARI,@,LAD,2.0,3.0,L,1,53340.0,2026.0,0.75
1-03-28,ATL,Home,KCR,6.0,2.0,W-wo,,39362.0,2026.0,0.75
1-03-28,TEX,@,PHI,5.0,4.0,W,0,40051.0,2026.0,0.75
1-03-28,WSN,@,CHC,2.0,10.0,L,1,34834.0,2026.0,0.75
1-03-29,TOR,Home,ATH,5.0,2.0,W,1,36484.0,2026.0,0.75
1-03-29,TBR,@,STL,11.0,7.0,W,0,27653.0,2026.0,0.75
1-03-29,SEA,Home,CLE,8.0,0.0,W,1,30800.0,2026.0,0.75
1-03-29,CHW,@,MIL,7.0,9.0,L,1,32737.0,2026.0,0.75
1-03-29,LAA,@,HOU,7.0,9.0,L,1,30848.0,2026.0,0.75
1-03-29,KCR,@,ATL,4.0,1.0,W,0,37961.0,2026.0,0.75
1-03-29,BOS,@,CIN,2.0,3.0,L,1,27084.0,2026.0,0.75
1-03-29,TEX,@,PHI,8.0,3.0,W,0,38013.0,2026.0,0.75
1-03-29,MIN,@,BAL,6.0,8.0,L,1,18071.0,2026.0,0.75
1-03-29,CIN,Home,BOS,3.0,2.0,W,1,27084.0,2026.0,0.75
1-03-29,WSN,@,CHC,6.0,3.0,W,0,33559.0,2026.0,0.75
1-03-29,PHI,Home,TEX,3.0,8.0,L,0,38013.0,2026.0,0.75
1-03-29,ATL,Home,KCR,1.0,4.0,L,0,37961.0,2026.0,0.75
1-03-29,MIA,Home,COL,4.0,3.0,W-wo,,17355.0,2026.0,0.75
1-03-29,MIL,Home,CHW,9.0,7.0,W,1,32737.0,2026.0,0.75
1-03-29,PIT,@,NYM,4.0,3.0,W,0,36940.0,2026.0,0.75
1-03-29,STL,Home,TBR,7.0,11.0,L,0,27653.0,2026.0,0.75
1-03-30,TOR,Home,COL,5.0,14.0,L,0,35490.0,2026.0,0.75
1-03-30,ARI,Home,DET,9.0,6.0,W,1,48350.0,2026.0,0.75
1-03-30,LAA,@,CHC,2.0,7.0,L,1,36702.0,2026.0,0.75
1-03-30,PHI,Home,WSN,2.0,13.0,L,0,35609.0,2026.0,0.75
1-03-30,NYY,@,SEA,1.0,2.0,L-wo,,27291.0,2026.0,0.75
