date,season,team_abbr,starter_name
2021-03-01,2021,ARI,Merrill Kelly
2021-03-01,2021,ATH,Grant Holmes
2021-03-01,2021,ATL,Huascar Ynoa
2021-03-01,2021,BAL,Jorge López
2021-03-01,2021,BOS,Garrett Richards
2021-03-01,2021,CHC,Kyle Hendricks
2021-03-01,2021,CHW,Alex McRae
2021-03-01,2021,CIN,Brandon Finnegan
2021-03-01,2021,CLE,Shane Bieber
2021-03-01,2021,COL,Dereck Rodríguez
2021-03-01,2021,DET,Kyle Funkhouser
2021-03-01,2021,HOU,Nivaldo Rodriguez
2021-03-01,2021,KCR,Jackson Kowar
2021-03-01,2021,LAA,Alex Cobb
2021-03-01,2021,LAD,Trevor Bauer
2021-03-01,2021,MIA,Sandy Alcantara
2021-03-01,2021,MIL,Corbin Burnes
2021-03-01,2021,MIN,Lewis Thorpe
2021-03-01,2021,NYM,Harol González
2021-03-01,2021,NYY,Gerrit Cole
2021-03-01,2021,PHI,Aaron Nola
2021-03-01,2021,PIT,Mitch Keller
2021-03-01,2021,SDP,Chris Paddack
2021-03-01,2021,SFG,Nick Tropeano
2021-03-01,2021,TBR,Tyler Glasnow
2021-03-01,2021,TEX,Kyle Gibson
2021-03-01,2021,TOR,Robbie Ray
2021-03-01,2021,WSN,Austin Voth
2021-03-02,2021,ARI,Caleb Smith
2021-03-02,2021,ATH,Parker Dunshee
2021-03-02,2021,ATL,Ian Anderson
2021-03-02,2021,BAL,John Means
2021-03-02,2021,BOS,Martín Pérez
2021-03-02,2021,CHC,Adbert Alzolay
2021-03-02,2021,CHW,Lucas Giolito
2021-03-02,2021,CIN,Hunter Greene
2021-03-02,2021,CLE,Adam Plutko
2021-03-02,2021,DET,Casey Mize
2021-03-02,2021,HOU,Framber Valdez
2021-03-02,2021,KCR,Jakob Junis
2021-03-02,2021,LAA,Andrew Heaney
2021-03-02,2021,LAD,Walker Buehler
2021-03-02,2021,MIA,Pablo López
2021-03-02,2021,MIL,Josh Lindblom
2021-03-02,2021,MIN,Charlie Barnes
2021-03-02,2021,NYM,Marcus Stroman
2021-03-02,2021,NYY,Jordan Montgomery
2021-03-02,2021,PHI,Zack Wheeler
2021-03-02,2021,PIT,JT Brubaker
2021-03-02,2021,SDP,Ryan Weathers
2021-03-02,2021,SEA,Yusei Kikuchi
2021-03-02,2021,SFG,Logan Webb
2021-03-02,2021,STL,Adam Wainwright
2021-03-02,2021,TBR,Michael Wacha
2021-03-02,2021,TEX,Kohei Arihara
2021-03-02,2021,TOR,Steven Matz
2021-03-03,2021,ARI,Luke Weaver
2021-03-03,2021,ATH,Cole Irvin
2021-03-03,2021,ATL,Drew Smyly
2021-03-03,2021,BAL,Wade LeBlanc
2021-03-03,2021,BOS,Nick Pivetta
2021-03-03,2021,CHC,Zach Davies
2021-03-03,2021,CHW,Kade McClure
2021-03-03,2021,CIN,Jeff Hoffman
2021-03-03,2021,CLE,Zach Plesac
2021-03-03,2021,COL,Ryan Castellani
2021-03-03,2021,DET,Daniel Norris
2021-03-03,2021,KCR,Carlos Hernández
2021-03-03,2021,LAA,Dylan Bundy
2021-03-03,2021,LAD,Julio Urías
2021-03-03,2021,MIA,Elieser Hernández
2021-03-03,2021,MIL,Drew Rasmussen
2021-03-03,2021,MIN,José Berríos
2021-03-03,2021,NYM,Jerad Eickhoff
2021-03-03,2021,NYY,Corey Kluber
2021-03-03,2021,PHI,Zach Eflin
2021-03-03,2021,PIT,Steven Brault
2021-03-03,2021,SDP,Blake Snell
2021-03-03,2021,SEA,Ljay Newsome
2021-03-03,2021,STL,Kwang Hyun Kim
2021-03-03,2021,TBR,Shane McClanahan
2021-03-03,2021,TEX,Jimmy Herget
2021-03-03,2021,TOR,Simeon Woods Richardson
2021-03-03,2021,WSN,Erick Fedde
2021-03-04,2021,ARI,Madison Bumgarner
2021-03-04,2021,ATL,Bryse Wilson
2021-03-04,2021,BAL,Dean Kremer
2021-03-04,2021,BOS,Matt Andriese
2021-03-04,2021,CHC,Trevor Williams
2021-03-04,2021,CHW,Lance Lynn
2021-03-04,2021,CIN,Sonny Gray
2021-03-04,2021,CLE,Aaron Civale
