name,season,team_abbr,gs,ip,era,whip,k_per_9,k_per_9,bb_per_9,hr_per_9,fip_proxy
Jacob deGrom,2021,NYY,15,92.0,1.08,0.554,14.3,14.282608695652174,1.0760869565217392,0.5869565217391304,1.232608695652174
Ranger Suarez,2021,PHI,12,106.0,1.36,1.0,9.1,9.084905660377359,2.80188679245283,0.33962264150943394,2.6056603773584905
Jesse Chavez,2021,ATL,5,40.0,1.8,1.05,8.6,8.549999999999999,3.15,0.0,2.35
Collin McHugh,2021,TBR,8,67.2,1.86,0.946,10.1,10.178571428571429,1.7410714285714284,0.6696428571428571,2.4857142857142858
Chris Ellis,2021,TBR,6,29.1,2.15,1.193,7.1,7.11340206185567,4.329896907216495,0.9278350515463917,4.402749140893471
Corbin Burnes,2021,MIL,29,173.0,2.34,0.936,12.5,12.485549132947977,1.9248554913294798,0.36416184971098264,1.593063583815029
Max Scherzer,2021,WSN,33,196.0,2.43,0.867,11.9,11.892857142857142,1.8826530612244898,1.1479591836734695,2.842857142857143
Carlos Rod\xc3\xb3n,2021,CHC,25,135.1,2.46,0.975,12.5,12.524056254626204,2.531458179126573,0.8660251665433013,2.511621021465581
Danny Duffy,2021,KCR,12,61.0,2.51,1.213,9.6,9.59016393442623,3.2459016393442623,0.8852459016393442,3.4295081967213115
Trevor Bauer,2021,LAD,17,107.2,2.59,1.003,11.5,11.501865671641792,3.106343283582089,1.5951492537313432,3.9835820895522387
Corey Knebel,2021,LAD,6,31.1,2.59,0.989,11.8,11.864951768488746,2.8938906752411575,0.5787781350482315,2.3639871382636657
Brandon Woodruff,2021,MIL,31,186.2,2.6,0.964,10.6,10.585392051557466,2.1267454350161117,0.9183673469387755,2.883136412459721
Trevor Rogers,2021,MIA,25,133.0,2.64,1.15,10.6,10.62406015037594,3.1127819548872178,0.40601503759398494,2.463157894736842
Tyler Glasnow,2021,TBR,14,88.0,2.66,0.932,12.6,12.579545454545455,2.7613636363636362,1.0227272727272727,2.8022727272727277
Walker Buehler,2021,LAD,37,226.0,2.67,1.027,9.2,9.15929203539823,2.4292035398230087,0.8761061946902655,3.239823008849558
Freddy Peralta,2021,MIL,28,148.1,2.73,0.971,12.1,12.153950033760973,3.463875759621877,0.8507765023632681,2.882646860229575
Dustin May,2021,LAD,5,23.0,2.74,0.957,13.7,13.695652173913045,2.3478260869565215,1.5652173913043477,3.2
Zack Wheeler,2021,PHI,32,213.1,2.78,1.008,10.4,10.431722196152041,1.942749882684186,0.675739089629282,2.505490380103238
Adrian Sampson,2021,CHC,5,35.1,2.8,1.075,7.1,7.17948717948718,2.051282051282051,2.051282051282051,5.251282051282051
Logan Webb,2021,SFG,28,163.0,2.82,1.067,9.7,9.662576687116564,2.0429447852760734,0.49693251533742333,2.4515337423312884
Robbie Ray,2021,TOR,32,193.1,2.84,1.045,11.5,11.55877783531849,2.4236147074054895,1.5380631796996376,3.66090108751942
Spencer Turnbull,2021,DET,9,50.0,2.88,0.98,7.9,7.92,2.16,0.36,2.68
Cal Quantrill,2021,CLE,22,149.2,2.89,1.176,7.3,7.29892761394102,2.835120643431636,0.9651474530831099,3.9171581769437
Nestor Cortes,2021,NYY,14,93.0,2.9,1.075,10.0,9.96774193548387,2.419354838709677,1.3548387096774195,3.7483870967741937
Kevin Gausman,2021,SFG,34,198.0,2.91,1.045,10.6,10.636363636363637,2.409090909090909,0.9090909090909091,2.9525252525252528
Lance Lynn,2021,CHC,29,160.2,2.91,1.095,10.1,10.112359550561798,2.640449438202247,1.0112359550561798,3.2936329588014983
Lance McCullers Jr.,2021,HOU,30,173.0,3.02,1.214,10.1,10.092485549132949,4.109826589595376,0.7283236994219653,3.379190751445087
Marcus Stroman,2021,NYY,33,179.0,3.02,1.145,7.9,7.94413407821229,2.212290502793296,0.8547486033519552,3.4067039106145254
Adam Wainwright,2021,STL,33,211.2,3.02,1.058,7.6,7.627840909090909,2.215909090909091,0.9375,3.597727272727273
Aaron Sanchez,2021,SFG,7,35.1,3.06,1.33,6.6,6.666666666666666,3.846153846153846,0.5128205128205128,3.7413105413105416
Luis Gil,2021,NYY,6,29.1,3.07,1.33,11.7,11.75257731958763,5.876288659793815,1.2371134020618555,4.334020618556702
Pablo L\xc3\xb3pez,2021,MIA,20,102.2,3.07,1.12,10.1,10.12720156555773,2.2896281800391387,0.9686888454011742,3.1119373776908024
Wily Peralta,2021,DET,18,93.2,3.07,1.335,5.6,5.600858369098713,3.669527896995708,1.1587982832618025,4.852360515021459
Drew Rasmussen,2021,TBR,11,78.0,3.12,1.128,8.5,8.538461538461538,2.884615384615385,0.6923076923076923,3.264102564102564
Julio Ur\xc3\xadas,2021,LAD,34,200.2,3.14,1.042,9.4,9.44055944055944,1.8431568431568432,1.0339660339660341,3.20999000999001
Chris Bassitt,2021,OAK,27,157.1,3.15,1.055,9.1,9.108847867600256,2.2342457033736474,0.859325270528326,3.161807765754297
Tyler Gilbert,2021,ARI,6,40.0,3.15,1.025,5.6,5.625,2.9250000000000003,0.9,4.225
