team_abbr,season,team_avg_starter_era,team_avg_starter_whip,team_avg_starter_k_per_9,team_avg_starter_k_per_9,team_avg_starter_bb_per_9,team_avg_starter_hr_per_9,team_avg_starter_fip_proxy
ARI,2021,4.825454545454545,1.3710909090909091,7.4818181818181815,7.523860430032655,3.219553469048211,1.4566193049697218,4.705221167965079
ARI,2022,4.451428571428571,1.2685714285714285,7.028571428571429,7.038923497063415,2.918519587146439,1.423538810465024,4.664857367039756
ARI,2023,4.737142857142857,1.3234285714285714,7.857142857142857,7.851918140168048,3.033047253595154,1.2292073182994119,4.241666735371302
ARI,2024,5.2,1.40475,7.9125,7.922851538519016,2.8483528212736244,1.3583414433758325,4.350866016740962
ARI,2025,4.1433333333333335,1.3016666666666667,7.8500000000000005,7.87347405186123,2.8194781237857787,1.3009722122758294,4.26934722524674
ATH,2025,5.018888888888889,1.391111111111111,7.944444444444445,7.961422057097565,3.333983009140996,1.656926322616947,4.9354607896942415
ATL,2021,3.692222222222222,1.1945555555555556,8.944444444444445,8.94816409496801,3.423826638758743,1.083052305881894,3.9172035225338706
ATL,2022,3.5483333333333333,1.1996666666666667,9.516666666666667,9.534797316423198,3.1434176275430237,0.8613202578161655,3.3730912890436477
ATL,2023,5.114,1.4279,8.32,8.344462655945307,3.516866825966617,1.607510955472831,4.839924176350671
ATL,2024,3.6371428571428575,1.2142857142857142,9.37142857142857,9.416110481374291,2.572203574299013,0.9290473231066162,3.3068894400593853
ATL,2025,3.737142857142857,1.2537142857142858,9.214285714285714,9.249591190663343,3.2072399012315365,1.033367682264763,3.706257465756649
BAL,2021,6.383,1.5487,7.07,7.111288022492692,3.3367584784109234,1.9494709436686013,5.547869073104356
BAL,2022,4.581666666666667,1.3455000000000001,6.6499999999999995,6.678411038543356,2.5132072894140793,1.3872277192572522,4.557417793499979
BAL,2023,4.096666666666667,1.2263333333333335,8.483333333333333,8.495185555100727,2.6898566035033578,1.271978972779687,4.046102816271617
BAL,2024,3.7433333333333336,1.2266666666666668,8.983333333333333,9.028102755776874,3.1241238144170675,1.0613360113604453,3.768170453264805
BAL,2025,4.364285714285715,1.276,8.328571428571427,8.349578630105713,2.598763028529748,1.4168518580806266,4.257356220047329
BOS,2021,4.361428571428571,1.3507142857142858,9.642857142857142,9.646131437293956,2.904563153896522,1.1670040200908427,3.7102754275869567
BOS,2022,5.203333333333333,1.4657777777777778,8.277777777777779,8.306487655531235,3.000937215237048,1.3257372170734452,4.269380017400385
BOS,2023,4.613333333333333,1.2934444444444444,9.288888888888888,9.312773548154391,2.854363225820659,1.48399409462061,4.225496201246791
BOS,2024,4.073333333333333,1.2578333333333334,8.183333333333334,8.19558343452486,2.7909978851585127,1.189104804942455,4.026687694519748
BOS,2025,4.04875,1.3005,8.6375,8.655937873669972,2.8563114251258104,1.0842518086569974,3.794703560064273
CHC,2021,4.033076923076923,1.2613846153846153,8.753846153846153,8.768187552042788,3.1183270222898622,1.4526056486864456,4.389164377300867
CHC,2022,3.794375,1.2713125,8.06875,8.092026863399012,3.1663243989022627,1.2237657104520312,4.224874856198352
CHC,2023,4.3125,1.3227499999999999,8.016666666666667,8.050011810385131,3.234629688506187,1.2902569061722815,4.35302280277644
CHC,2024,4.430000000000001,1.3255333333333332,8.133333333333333,8.154769042149097,3.5669142847583046,1.3185894028303513,4.481429667419032
CHC,2025,4.053333333333333,1.2498,7.6866666666666665,7.705048490153936,2.969411718043525,1.2711352576970623,4.313655169320501
CIN,2021,4.098333333333334,1.3546666666666667,8.916666666666666,8.940898141338826,3.6794826008504447,1.229373392998144,4.215389514316617
CIN,2022,5.46375,1.45275,8.075,8.105326199190865,4.096164777274173,1.7356962421532631,5.271321453492579
CIN,2023,5.69375,1.5295,8.9875,9.048731863273622,3.605777854478794,1.700400970966301,4.84723138438345
CIN,2024,4.05625,1.271125,7.5875,7.640939436370741,3.040211582782662,1.2221413407583774,4.280732589496157
CIN,2025,3.716666666666667,1.1578333333333333,9.433333333333334,9.436725428239898,2.517365606719443,1.1592226743671148,3.61650452560567
CLE,2021,5.116666666666666,1.3346666666666667,8.366666666666667,8.385027955094891,3.1463762299511098,1.6037977192331094,4.702049236632663
CLE,2022,3.531428571428571,1.2082857142857144,8.171428571428573,8.20600507116249,2.870436758473601,1.1192578255558698,3.949961318369126
CLE,2023,4.544,1.3928,7.209999999999999,7.253370512520215,3.296160706762971,1.141419571595462,4.335577280665499
CLE,2024,4.433333333333334,1.3404444444444445,8.544444444444444,8.587568622776667,3.5393208700756595,1.3722372442578405,4.453545504447286
CLE,2025,3.64875,1.27875,8.2875,8.33204553909676,3.206712513448809,1.189658271856798,4.135733777365698
